SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2,2,0,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,1,0,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,7,7,0,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,1,0,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,0,0,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,7,7,0,0,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,43,31,12,0,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,40,40,0,0,0,14,14,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,6,1,5,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,73,13,60,0,0,1,1,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,14,14,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,32,32,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,26,26,0,0,0,13,13,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,18,17,1,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,103,98,5,0,0,66,66,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,42,41,1,0,0,10,10,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,38,38,0,0,0,30,30,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,39,35,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,207,182,25,0,0,18,14,4,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,36,35,0,1,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,79,79,0,0,0,20,20,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,23,5,18,0,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,95,94,1,0,0,3,3,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,377,193,181,3,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,8,8,0,0,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,67,65,2,0,0,7,7,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,57,57,0,0,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,51,45,6,0,0,3,-2,5,0,,
65,AS,Assam,AS_Majuli,Majuli,0,0,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,43,37,6,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,58,58,0,0,0,4,4,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,21,17,4,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,26,26,0,0,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,23,10,13,0,0,3,3,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,4,3,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,45,45,0,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,25,25,0,0,0,1,1,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,13,12,1,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,62,50,12,0,0,3,3,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,50,18,32,0,0,3,-4,7,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,74,34,40,0,0,0,-13,13,0,,
78,BR,Bihar,BR_Banka,Banka,123,57,66,0,0,0,-7,7,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,251,145,104,2,0,2,-17,19,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,201,116,84,1,0,10,-3,13,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,93,52,39,2,0,4,-1,5,0,,
82,BR,Bihar,BR_Buxar,Buxar,122,27,95,0,0,4,1,3,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,115,72,43,0,0,11,-8,19,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,115,65,49,1,0,4,-7,11,0,,
84,BR,Bihar,BR_Gaya,Gaya,91,70,21,0,0,5,4,1,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,116,42,74,0,0,2,2,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,43,24,18,1,0,1,0,0,1,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,166,74,91,1,0,3,-5,8,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,93,54,39,0,0,10,6,4,0,,
89,BR,Bihar,BR_Katihar,Katihar,156,107,49,0,0,6,4,2,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,257,164,90,3,0,85,84,1,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,77,62,15,0,0,1,1,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,62,44,18,0,0,5,2,3,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,93,56,36,1,0,2,1,1,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,201,124,77,0,0,0,-14,14,0,,
95,BR,Bihar,BR_Munger,Munger,158,29,128,1,0,0,-1,1,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,73,42,31,0,0,6,2,4,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,111,27,83,1,0,0,-2,2,0,,
98,BR,Bihar,BR_Nawada,Nawada,97,53,44,0,0,4,3,1,0,,
100,BR,Bihar,BR_Patna,Patna,263,91,170,2,0,2,-13,15,0,,
102,BR,Bihar,BR_Purnia,Purnia,105,69,36,0,0,0,-20,20,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,210,85,124,1,0,2,0,2,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,73,27,46,0,0,6,6,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,92,43,48,1,0,11,5,6,0,,
106,BR,Bihar,BR_Saran,Saran,88,59,28,1,0,7,-2,9,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,107,88,19,0,0,3,-2,5,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,14,6,8,0,0,4,4,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,64,42,20,2,0,14,2,12,0,,
110,BR,Bihar,BR_Siwan,Siwan,102,48,52,2,0,2,-2,4,0,,
111,BR,Bihar,BR_Supaul,Supaul,83,50,33,0,0,0,-9,9,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,73,43,28,2,0,1,1,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,52,17,35,0,0,7,6,1,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,301,82,214,5,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,31,19,12,0,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,23,16,7,0,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,16,16,0,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,20,14,6,0,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,3,3,0,0,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,0,0,0,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,64,58,6,0,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,0,0,0,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,6,5,1,0,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,13,3,10,0,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,7,3,4,0,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,16,4,12,0,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,41,41,0,0,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,19,7,12,0,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,0,0,0,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,54,22,32,0,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,30,29,1,0,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,20,20,0,0,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,85,78,7,0,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,0,0,0,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,19,19,0,0,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,18,9,8,1,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,37,36,1,0,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,0,0,0,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,8,1,7,0,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,9,8,1,0,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,20,17,3,0,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,3,0,0,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,11,10,1,0,0,8,8,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,0,0,0,0,0,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,0,0,0,0,0,0,0,0,0,,
155,GA,Goa,GA_North Goa,North Goa,6,0,6,0,0,0,0,0,0,,
156,GA,Goa,GA_South Goa,South Goa,65,64,1,0,0,47,47,0,0,,
0,GJ,Gujarat,GJ_Other State,Other State,17,17,0,0,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,13063,3221,8932,910,0,290,63,205,22,,
158,GJ,Gujarat,GJ_Amreli,Amreli,10,7,2,1,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,102,5,87,10,0,1,1,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,113,0,106,7,0,2,2,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,125,23,97,5,0,10,2,8,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,47,10,34,3,0,3,3,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,130,18,103,9,0,4,3,0,1,,
164,GJ,Gujarat,GJ_Botad,Botad,59,4,54,1,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,33,10,23,0,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,41,9,32,0,0,1,1,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,2,0,2,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,13,2,11,0,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,339,154,171,14,0,39,31,8,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,45,3,42,0,0,0,-6,6,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,54,9,42,3,0,0,-5,5,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,31,4,26,1,0,1,0,1,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,87,25,58,4,0,5,5,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,71,13,55,3,0,0,-1,0,1,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,116,73,41,2,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,129,47,76,6,0,4,4,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,4,1,3,0,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,19,4,15,0,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,28,14,13,1,0,2,0,1,1,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,94,12,72,10,0,3,3,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,86,16,64,6,0,5,5,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,12,4,6,2,0,0,-2,2,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,117,42,72,3,0,2,2,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,107,29,75,3,0,1,-2,3,0,,
184,GJ,Gujarat,GJ_Surat,Surat,1794,529,1191,74,0,77,44,31,2,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,42,22,19,1,0,1,-2,3,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,6,1,5,0,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,1140,430,668,42,0,34,-12,43,3,,
189,GJ,Gujarat,GJ_Valsad,Valsad,41,25,15,1,0,0,-2,2,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,19,11,8,0,0,1,1,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,25,12,13,0,0,1,-1,2,0,,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,114,74,39,1,0,2,2,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,94,54,39,1,0,4,-2,6,0,,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,2,2,0,0,0,2,2,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,2,1,1,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,0,0,0,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,17,7,8,2,0,2,2,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,10,8,1,1,0,1,1,0,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,4,1,3,0,0,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,32,18,10,1,3,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,40,16,24,0,0,1,-1,2,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,19,2,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,69,27,40,2,0,8,8,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,45,39,6,0,0,1,1,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,13,12,1,0,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,487,309,168,10,0,69,69,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,25,18,7,0,0,1,1,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,1195,903,288,4,0,132,128,4,0,,
196,HR,Haryana,HR_Hisar,Hisar,61,56,5,0,0,8,8,0,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,103,11,92,0,0,0,0,0,0,,
198,HR,Haryana,HR_Jind,Jind,32,7,24,1,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,30,24,6,0,0,1,1,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,66,45,20,1,0,10,10,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,37,19,18,0,0,1,0,1,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,70,49,21,0,0,28,28,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,78,12,66,0,0,6,5,1,0,,
204,HR,Haryana,HR_Palwal,Palwal,79,35,44,0,0,0,0,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,27,1,26,0,0,1,0,1,0,,
206,HR,Haryana,HR_Panipat,Panipat,65,16,46,3,0,1,1,0,0,,
207,HR,Haryana,HR_Rewari,Rewari,23,19,4,0,0,0,0,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,97,85,11,1,0,7,7,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,47,34,13,0,0,0,-2,2,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,261,102,158,1,0,28,18,10,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,9,0,9,0,0,0,-1,1,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,23,8,14,1,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,1,0,1,0,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,5,0,5,0,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,70,60,10,0,0,9,9,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,4,2,2,0,0,2,2,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,122,121,1,0,0,3,3,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,62,14,48,0,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,21,9,11,1,0,3,3,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,1,0,1,0,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,22,22,0,0,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,82,47,35,0,0,2,2,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,2,0,2,0,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,5,5,0,0,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,45,19,25,1,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,10,3,7,0,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,6,4,2,0,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,5,5,0,0,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,19,3,16,0,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,44,44,0,0,0,-1,-1,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,138,23,113,2,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,3,3,0,0,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,5,5,0,0,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,16,14,2,0,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,15,14,1,0,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,350,193,152,5,0,0,-26,26,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,161,24,136,1,0,9,7,2,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,272,161,104,7,0,27,25,1,1,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,124,55,67,2,0,6,0,6,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,27,25,1,1,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,37,11,26,0,0,3,1,2,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,167,124,41,2,0,10,10,0,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,80,53,27,0,0,-1,-1,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,12,9,3,0,0,1,1,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,313,264,45,4,0,1,-12,13,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,299,222,76,1,0,9,9,0,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,105,92,13,0,0,14,14,0,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,59,58,1,0,0,10,9,1,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,40,35,5,0,0,4,4,0,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,153,137,16,0,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,14,11,3,0,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,48,35,13,0,0,4,4,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,205,93,109,3,0,25,24,1,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,319,169,143,7,0,14,12,2,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,72,45,26,1,0,3,3,0,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,91,19,71,1,0,2,-3,5,0,,
271,KA,Karnataka,KA_Ballari,Ballari,52,21,30,1,0,1,-4,5,0,,
272,KA,Karnataka,KA_Belagavi,Belagavi,210,85,124,1,0,0,-7,7,0,,
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,19,9,9,1,0,1,1,0,0,,
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,419,152,256,11,0,20,1,19,0,,
275,KA,Karnataka,KA_Bidar,Bidar,176,130,41,5,0,0,0,0,0,,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,0,0,0,0,0,0,0,0,0,,
