Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: UIDAI),1000,1000000
09/04/2020,Arunachal Pradesh,206,1,185,20,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,0.49%,0.1369680851,136.9680851,1504000,,
14/04/2020,Arunachal Pradesh,280,1,250,29,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,0.36%,0.1861702128,186.1702128,,,
17/04/2020,Arunachal Pradesh,363,1,338,25,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,0.28%,0.241356383,241.356383,,,
18/04/2020,Arunachal Pradesh,389,1,358,31,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,0.26%,0.258643617,258.643617,,,
19/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,0,0,,,
20/04/2020,Arunachal Pradesh,439,1,405,34,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,0.23%,0.2918882979,291.8882979,,,
21/04/2020,Arunachal Pradesh,454,1,433,19,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.22%,0.3018617021,301.8617021,,,
22/04/2020,Arunachal Pradesh,496,2,441,53,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.40%,0.329787234,329.787234,,,
23/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,
24/04/2020,Arunachal Pradesh,526,2,508,16,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0,0,,,
25/04/2020,Arunachal Pradesh,,,,,,,,,,,,,0.35%,0.3776595745,377.6595745,,,
26/04/2020,Arunachal Pradesh,568,2,529,37,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.34%,0.3882978723,388.2978723,,,
27/04/2020,Arunachal Pradesh,584,2,566,16,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.33%,0.4055851064,405.5851064,,,
28/04/2020,Arunachal Pradesh,610,2,581,27,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.66%,0.6396276596,639.6276596,,,
29/04/2020,Arunachal Pradesh,662,2,595,65,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,,,,,
30/04/2020,Arunachal Pradesh,694,2,656,36,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,,,,,
01/05/2020,Arunachal Pradesh,724,2,692,30,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,,,,,
02/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,
03/05/2020,Arunachal Pradesh,810,2,761,47,,,,,,,,,,,,,,
02/04/2020,Assam,962,16,819,946,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,1.66%,0.0280523722,28.0523722,"34,293,000",,
05/04/2020,Assam,,,,,,,,,,,,,,0,0,,,
10/04/2020,Assam,2863,29,2685,,,,3212,440,240,9245,https://t.me/indiacovid/2003?single,,1.01%,0.0834864258,83.4864258,,,
11/04/2020,Assam,3011,29,2842,,,,3212,440,240,9514,https://t.me/indiacovid/2075?single,,0.96%,0.08780217537,87.80217537,,,
12/04/2020,Assam,3138,29,2973,194,,,3212,440,240,9845,https://t.me/indiacovid/2146?single,,0.92%,0.09150555507,91.50555507,,,
13/04/2020,Assam,,,,,,,,,,,,,,0,0,,,
14/04/2020,Assam,3491,31,3267,193,10022,,3212,440,240,10615,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,,0.89%,0.101799201,101.799201,,,
15/04/2020,Assam,3613,32,3492,89,,,3212,440,240,10915,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,0.1053567784,105.3567784,,,
16/04/2020,Assam,4108,34,3803,,,,3338,440,303,11248,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,0.83%,0.119791211,119.791211,,,
17/04/2020,Assam,4236,34,4024,,,,3338,440,303,11561,https://twitter.com/nhm_assam/status/1251154796444184578,,0.80%,0.1235237512,123.5237512,,,
18/04/2020,Assam,4400,34,4199,,,,3338,440,303,11847,https://twitter.com/nhm_assam,,0.77%,0.1283060683,128.3060683,,,
19/04/2020,Assam,4865,34,4584,,,,3338,440,303,12148,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,,0.70%,0.1418656869,141.8656869,,,
20/04/2020,Assam,5112,34,4937,,,,3338,440,303,12478,https://twitter.com/nhm_assam/status/1252256054907461632,,0.67%,0.149068323,149.068323,,,
21/04/2020,Assam,5514,34,5245,,,,3338,440,303,12853,https://twitter.com/nhm_assam/status/1252591349670576128,,0.62%,0.1607908319,160.7908319,,,
22/04/2020,Assam,,,,,,,,,,,,,,0,0,,,
23/04/2020,Assam,,,,,,,,,,,,,,0,0,,,
24/04/2020,Assam,6680,35,6391,,,,3338,440,303,14478,https://twitter.com/nhm_assam/status/1253714714485538817,,0.52%,0.19479194,194.79194,,,
25/04/2020,Assam,7159,35,6781,,,,3338,440,303,14812,https://twitter.com/nhm_assam/status/1254067546023694337?s=19,,0.49%,0.2087598052,208.7598052,,,
26/04/2020,Assam,7823,35,7474,,,,3338,440,303,15418,https://twitter.com/nhm_assam/status/1254433067911036936/photo/1,,,,,,,
27/04/2020,Assam,8117,35,7985,,,,3338,440,303,15809,https://twitter.com/nhm_assam/status/1254813929898835979,,,,,,,
28/04/2020,Assam,,,,,,,,,,,,,,,,,,
29/04/2020,Assam,9520,37,8771,,,,3338,440,303,16815,https://twitter.com/nhm_assam/status/1255530189448241159,,,,,,,
30/04/2020,Assam,,,,,,,,,,,,,,,,,,
01/05/2020,Assam,,,,,,,,,,,,,,,,,,
02/05/2020,Assam,11623,42,10499,,,,3338,440,303,18549,https://twitter.com/nhm_assam/status/1256617639985549313?s=19,,,,,,,
05/04/2020,Bihar,3037,32,2299,706,,,,,,,https://twitter.com/sanjayjavin/status/1246667952054665216,,1.05%,0.02540997323,25.40997323,"119,520,000",,
05/04/2020,Bihar,3037,32,2299,706,,,,,,,,,1.05%,0.02540997323,25.40997323,,,
08/04/2020,Bihar,4596,38,,465,,,,,,,https://twitter.com/sanjayjavin/status/1247762894063677440,,0.83%,0.03845381526,38.45381526,,,
09/04/2020,Bihar,4991,43,,394,,,,,,,https://twitter.com/BiharHealthDept/status/1248176830856626176/photo/1,,0.86%,0.04175870147,41.75870147,,,
10/04/2020,Bihar,5457,60,,673,,,,,,,https://twitter.com/BiharHealthDept/status/1248494623409885184/photo/1,,1.10%,0.04565763052,45.65763052,,,
11/04/2020,Bihar,6250,61,,,832,,2344,116,50,51075,https://twitter.com/BiharHealthDept/status/1248845966158905345?s=19,https://twitter.com/BiharHealthDept/status/1248964845371674625?s=09,0.98%,0.05229250335,52.29250335,,,
12/04/2020,Bihar,6703,64,,618,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1249203228178296832?s=20,,0.95%,0.05608266399,56.08266399,,,
13/04/2020,Bihar,7263,65,,41,,,2344,116,50,,https://t.me/indiacovid/2178?single,,0.89%,0.06076807229,60.76807229,,,
14/04/2020,Bihar,7727,62,,472,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1249928292519432192?s=09,,0.80%,0.06465026774,64.65026774,,,
15/04/2020,Bihar,8263,66,,565,,,2344,116,50,40380,https://twitter.com/sanjayjavin/status/1250296101350957058?s=09,https://twitter.com/SHSBihar/status/1250345699780096001?s=09,0.80%,0.06913487282,69.13487282,,,
16/04/2020,Bihar,8846,72,,607,,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1250667064571785216?s=09,,0.81%,0.07401271754,74.01271754,,,
17/04/2020,Bihar,9486,83,,510,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1251023696354881537,,0.87%,0.07936746988,79.36746988,,,
18/04/2020,Bihar,10130,85,,512,735,,2344,116,50,43152,https://twitter.com/BiharHealthDept/status/1251491112855973895,https://twitter.com/SHSBihar/status/1251437221179060224?s=09,0.84%,0.08475568942,84.75568942,,,
19/04/2020,Bihar,10745,92,,644,700,,2344,116,50,,https://t.me/indiacovid/2664?single,,0.86%,0.08990127175,89.90127175,,,
20/04/2020,Bihar,11319,96,,490,802,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1252218091712524289,,0.85%,0.09470381526,94.70381526,,,
21/04/2020,Bihar,11999,115,,998,693,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1252564363044704256,,0.96%,0.1003932396,100.3932396,,,
22/04/2020,Bihar,12978,136,,1005,748,,2344,116,50,,https://mobile.twitter.com/BiharHealthDept/status/1252933211488993280,,1.05%,0.1085843373,108.5843373,,,
23/04/2020,Bihar,13785,148,,1240,768,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1253330396726480901?s=19,,1.07%,0.1153363454,115.3363454,,,
24/04/2020,Bihar,14924,176,,1000,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1253554587811774465?s=19,https://twitter.com/BiharHealthDept/status/1254045733969330178,1.18%,0.1248661312,124.8661312,,,
25/04/2020,Bihar,15885,238,,898,1255,,2344,116,50,,https://t.me/indiacovid/3178,,1.50%,0.1329066265,132.9066265,,,
26/04/2020,Bihar,17041,255,,1018,1427,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1254402408664363008?s=20,,1.50%,0.1425786479,142.5786479,,,
27/04/2020,Bihar,18179,328,,1656,1614,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1254741773257248769,,1.80%,0.1521000669,152.1000669,,,
28/04/2020,Bihar,19790,346,,1884,,,,,,,https://twitter.com/BiharHealthDept/status/1255002059994210304,,1.75%,0.1655789826,165.5789826,,,
29/04/2020,Bihar,21180,383,,1948,2133,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1255508656205950976?s=19,,1.81%,0.1772088353,177.2088353,,,
30/04/2020,Bihar,22672,409,,1991,2154,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1255823491133292545,,1.80%,0.1896921017,189.6921017,,,
01/05/2020,Bihar,24118,466,,2326,2156,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1256207916274720769?s=20,,,,,,,
02/05/2020,Bihar,25724,476,,2250,2112,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1256541420544024582?s=19,https://twitter.com/BiharHealthDept/status/1256473162583281666?s=19,,,,,,
03/05/2020,Bihar,26951,485,,1346,2343,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1256919058374590464?s=19,https://twitter.com/BiharHealthDept/status/1256829872409686016?s=19,,,,,,
04/05/2020,Bihar,29514,517,,527,,,,,,,https://twitter.com/sanjayjavin/status/1257177930700132353?s=19,,,,,,,
02/04/2020,Chandigarh,124,18,98,8,,,,,,,http://chdcovid19.in/,,14.52%,0.1051738762,105.1738762,1179000,,
08/04/2020,Chandigarh,184,18,162,,,,,,,,http://chdcovid19.in/,,9.78%,0.1560644614,156.0644614,,,
10/04/2020,Chandigarh,223,19,199,4,,,,,,,http://chdcovid19.in/,,8.52%,0.1891433418,189.1433418,,,
11/04/2020,Chandigarh,264,19,223,21,,,,,,,http://chdcovid19.in,,7.20%,0.2239185751,223.9185751,,,
12/04/2020,Chandigarh,279,21,247,10,,,,,,,http://chdcovid19.in/,,7.53%,0.2366412214,236.6412214,,,
13/04/2020,Chandigarh,296,21,263,11,,,,,,,http://chdcovid19.in,,7.09%,0.2510602205,251.0602205,,,
14/04/2020,Chandigarh,309,21,285,2,,,,,,,http://chdcovid19.in,,6.80%,0.262086514,262.086514,,,
15/04/2020,Chandigarh,317,21,293,2,,,,,,,http://chdcovid19.in,,6.62%,0.2688719254,268.8719254,,,
16/04/2020,Chandigarh,337,21,315,0,,,,,,,https://twitter.com/ANI/status/1250765375874072578?s=09,,6.23%,0.2858354538,285.8354538,,,
17/04/2020,Chandigarh,358,21,335,1,,,,,,,http://chdcovid19.in/,,5.87%,0.3036471586,303.6471586,,,
18/04/2020,Chandigarh,381,23,348,9,,,,,,,http://chdcovid19.in/,,6.04%,0.3231552163,323.1552163,,,
19/04/2020,Chandigarh,430,26,388,15,,,,,,,http://chdcovid19.in/,,6.05%,0.3647158609,364.7158609,,,
20/04/2020,Chandigarh,453,26,417,9,,,,,,,http://chdcovid19.in/,,5.74%,0.3842239186,384.2239186,,,
21/04/2020,Chandigarh,497,27,445,24,,,,,,,https://twitter.com/ANI/status/1252589665518936064/photo/1,,5.43%,0.4215436811,421.5436811,,,
22/04/2020,Chandigarh,529,27,492,9,,,,,,,http://chdcovid19.in/,,5.10%,0.4486853265,448.6853265,,,
23/04/2020,Chandigarh,599,27,557,14,,,,,,,http://chdcovid19.in/,,4.51%,0.508057676,508.057676,,,
24/04/2020,Chandigarh,638,27,603,7,,,,,,,http://chdcovid19.in/,,4.23%,0.5411365564,541.1365564,,,
25/04/2020,Chandigarh,734,28,668,37,,,,,,,http://chdcovid19.in/,,3.81%,0.6225614928,622.5614928,,,
26/04/2020,Chandigarh,756,30,677,48,,,,,,,http://chdcovid19.in/,,3.97%,0.641221374,641.221374,,,
27/04/2020,Chandigarh,843,40,777,25,,,,,,,http://chdcovid19.in/,,4.74%,0.7150127226,715.0127226,,,
28/04/2020,Chandigarh,924,56,857,10,,,,,,,https://t.me/indiacovid/3457,,6.06%,0.7837150127,783.7150127,,,
29/04/2020,Chandigarh,1012,67,922,22,,,,,,,http://chdcovid19.in/,,6.62%,0.8583545377,858.3545377,,,
30/04/2020,Chandigarh,1147,74,1022,50,,,,,,,http://chdcovid19.in/,,6.45%,0.9728583545,972.8583545,,,
01/05/2020,Chandigarh,1252,88,1131,32,,,,,,,http://chdcovid19.in/,,,,,,,
02/05/2020,Chandigarh,1462,94,1339,28,,,,,,,http://chdcovid19.in/,,,,,,,
03/05/2020,Chandigarh,1616,97,1491,27,,,,,,,https://t.me/indiacovid/3951,,,,,,,
02/04/2020,Chhattisgarh,1232,9,921,302,,,,,,,http://www.cghealth.nic.in/cghealth17/,,0.73%,0.04289096226,42.89096226,28724000,,
10/04/2020,Chhattisgarh,3473,18,3322,133,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_10042020.pdf,,0.52%,0.1209093441,120.9093441,,,
11/04/2020,Chhattisgarh,3858,18,3503,337,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/RevisedMediaBulletinHINDI_11042020.pdf,,0.47%,0.1343127698,134.3127698,,,
12/04/2020,Chhattisgarh,3945,31,3856,58,,,,,,,http://cghealth.nic.in/cghealth17/,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_12042020.pdf,0.79%,0.1373415959,137.3415959,,,
13/04/2020,Chhattisgarh,4377,31,3969,377,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_13042020.pdf,,0.71%,0.1523812839,152.3812839,,,
14/04/2020,Chhattisgarh,4812,33,4319,469,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_14042020.pdf,,0.69%,0.1675254143,167.5254143,,,
15/04/2020,Chhattisgarh,5122,33,4878,211,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_15042020.pdf,,0.64%,0.178317783,178.317783,,,
16/04/2020,Chhattisgarh,5519,33,5168,318,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_16042020.pdf,,0.60%,0.1921389779,192.1389779,,,
17/04/2020,Chhattisgarh,5776,36,5484,256,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_18042020.pdf,,0.62%,0.2010861997,201.0861997,,,
18/04/2020,Chhattisgarh,5776,36,5484,256,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/mediaBulletinHindi_18042020.pdf,,0.62%,0.2010861997,201.0861997,,,
19/04/2020,Chhattisgarh,6675,36,6086,553,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/mediaBulletinHindi_19042020.pdf,,0.54%,0.2323840691,232.3840691,,,
20/04/2020,Chhattisgarh,7601,36,7029,536,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_20042020.pdf,,0.47%,0.264621919,264.621919,,,
21/04/2020,Chhattisgarh,8272,36,7555,681,,,,,,,http://cghealth.nic.in/cghealth17/,,0.44%,0.2879821752,287.9821752,,,
22/04/2020,Chhattisgarh,9220,36,8296,888,,,,,,,http://cghealth.nic.in/cghealth17/,,0.39%,0.3209859351,320.9859351,,,
23/04/2020,Chhattisgarh,10346,36,9206,1104,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_23042020.pdf,,0.35%,0.3601866035,360.1866035,,,
24/04/2020,Chhattisgarh,11386,36,10213,1137,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletin_24042020.pdf,,0.32%,0.39639326,396.39326,,,
25/04/2020,Chhattisgarh,12596,37,11168,1391,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_25042020.pdf,,0.29%,0.4385183122,438.5183122,,,
26/04/2020,Chhattisgarh,13786,37,12406,1343,,,,,,,https://t.me/indiacovid/3300?single,,0.27%,0.4799470826,479.9470826,,,
27/04/2020,Chhattisgarh,14987,37,13882,1068,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_27042020.pdf,,0.25%,0.521758808,521.758808,,,
28/04/2020,Chhattisgarh,15737,38,14953,746,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletin_28042020.pdf,,0.24%,0.5478693775,547.8693775,,,
29/04/2020,Chhattisgarh,16546,38,15658,850,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_29042020.pdf,,0.23%,0.5760339786,576.0339786,,,
30/04/2020,Chhattisgarh,17541,40,16602,899,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_30042020.pdf,,,,,,,
01/05/2020,Chhattisgarh,18039,43,17199,797,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_01052020.pdf,,,,,,,
02/05/2020,Chhattisgarh,,,,,,,,,,,,,,,,,,
03/05/2020,Chhattisgarh,19902,57,18848,997,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_03052020.pdf,,,,,,,
01/04/2020,Delhi,2621,,,2621,,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/068e55804dc3527fb23cf7982ee7a5c7/HB01A.pdf?MOD=AJPERES&lmod=908572962&CACHEID=068e55804dc3527fb23cf7982ee7a5c7,,0.00%,0.1322802059,132.2802059,19814000,,
07/04/2020,Delhi,9041,576,7308,1157,3120,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/ed4d3d804dd60b488b60ff982ee7a5c7/HB07A.pdf?MOD=AJPERES&lmod=1435478287&CACHEID=ed4d3d804dd60b488b60ff982ee7a5c7,,6.37%,0.4562935298,456.2935298,,,
09/04/2020,Delhi,9968,720,8643,605,2664,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/doit_health/Health/Home/Covid19/Health+Bulletin,http://health.delhigovt.nic.in/wps/wcm/connect/22522a804ddd430195f5f7d194e333e1/HB09A.pdf,7.22%,0.5030786313,503.0786313,,,
10/04/2020,Delhi,11061,903,9662,496,,,,,,,https://twitter.com/CMODelhi/status/1248629695614046209?s=09,,8.16%,0.5582416473,558.2416473,,,
11/04/2020,Delhi,11709,1069,10218,464,,,,,,,https://twitter.com/CMODelhi/status/1248998630888845313?s=19,,9.13%,0.5909457959,590.9457959,,,
12/04/2020,Delhi,14036,1154,11748,984,,,,,,,https://twitter.com/CMODelhi/status/1249350539973812224,,8.22%,0.7083880085,708.3880085,,,
13/04/2020,Delhi,15032,1510,12283,1008,,,,,,,https://twitter.com/CMODelhi/status/1249744159491031047/photo/2,,10.05%,0.7586554961,758.6554961,,,
14/04/2020,Delhi,16282,1561,13748,715,,,,,,,https://twitter.com/CMODelhi/status/1250087698011803648/photo/2,,9.59%,0.8217422025,821.7422025,,,
15/04/2020,Delhi,16605,1578,13865,956,,,,,,,https://twitter.com/CMODelhi/status/1250468383868350469?s=19,,9.50%,0.8380438074,838.0438074,,,
16/04/2020,Delhi,18784,1640,14692,2251,,,,,,,https://twitter.com/CMODelhi/status/1250830372830470145?s=20,,8.73%,0.948016554,948.016554,,,
17/04/2020,Delhi,21409,1707,16899,2674,,,,,,,https://twitter.com/CMODelhi/status/1251190807106777089/photo/2,,7.97%,1.080498637,1080.498637,,,
18/04/2020,Delhi,22283,1893,17449,2799,,,,,,,https://twitter.com/CMODelhi/status/1251559869494198282?s=19,,8.50%,1.124608862,1124.608862,,,
19/04/2020,Delhi,24387,2003,19393,2872,,,,,,,https://twitter.com/CMODelhi/status/1251923081699811328?s=09,,8.21%,1.230796407,1230.796407,,,
20/04/2020,Delhi,25900,2081,20712,2711,,,,,,,https://twitter.com/CMODelhi/status/1252276384166100994/photo/2,,8.03%,1.307156556,1307.156556,,,
21/04/2020,Delhi,26627,2156,21810,2354,,,,,,,https://twitter.com/CMODelhi/status/1252608476578078721/photo/2,,8.10%,1.343847784,1343.847784,,,
22/04/2020,Delhi,28309,2248,22713,3018,,,,,,,https://twitter.com/CMODelhi/status/1252978551088984066/photo/2,,7.94%,1.428737256,1428.737256,,,
23/04/2020,Delhi,30560,2375,24538,3068,,,,,,,https://twitter.com/CMODelhi/status/1253345233498226689?s=19,,7.77%,1.542343797,1542.343797,,,
24/04/2020,Delhi,33672,2514,26552,4128,,,,,,,https://twitter.com/CMODelhi/status/1253715491987664897/photo/2,,7.47%,1.699404461,1699.404461,,,
25/04/2020,Delhi,35519,2625,28693,3709,,,,,,,https://twitter.com/CMODelhi/status/1254081976631545856?s=20,,7.39%,1.792621379,1792.621379,,,
26/04/2020,Delhi,37613,2918,31919,2533,,,,,,,https://twitter.com/CMODelhi/status/1254453744063754240?s=09,,7.76%,1.898304229,1898.304229,,,
27/04/2020,Delhi,39911,3108,34145,2401,,,,,,,https://twitter.com/CMODelhi/status/1254813927067668480/photo/2,,7.79%,2.01428283,2014.28283,,,
28/04/2020,Delhi,43370,3314,36195,3295,,,,,,,https://twitter.com/CMODelhi/status/1255176666017492995/photo/2,,7.64%,2.188856364,2188.856364,,,
29/04/2020,Delhi,47225,3439,39920,,,,,,,,https://twitter.com/CMODelhi/status/1255550560348049411,,7.28%,2.383415767,2383.415767,,,
30/04/2020,Delhi,,,,,,,,,,,,,,,,,,
01/05/2020,Delhi,,,,,,,,,,,,,,,,,,
02/05/2020,Delhi,58210,4122,,,,,,,,,https://t.me/indiacovid/3879?single,,,,,,,
03/05/2020,Delhi,,,,,,,,,,,,,,,,,,
