Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
16/04/2020,Andhra Pradesh,20235,Tested,534,19701,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.64%,50.97,50970,38,52221000
17/04/2020,Andhra Pradesh,20235,Tested,572,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,https://t.me/indiacovid/2474,2.83%,50.97,50970,35,52221000
18/04/2020,Andhra Pradesh,21450,Tested,603,20487,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.81%,54.03,54030,36,52221000
19/04/2020,Andhra Pradesh,26958,Tested,647,26311,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.40%,67.90,67904,42,52221000
20/04/2020,Andhra Pradesh,30733,Tested,722,30011,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.35%,77.41,77413,43,52221000
21/04/2020,Andhra Pradesh,35755,Tested,757,34998,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,2.12%,90.06,90063,47,52221000
22/04/2020,Andhra Pradesh,41512,Tested,813,40699,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.96%,104.56,104564,51,52221000
23/04/2020,Andhra Pradesh,48032,Tested,893,47139,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.86%,120.99,120987,54,52221000
24/04/2020,Andhra Pradesh,54338,Tested,955,53383,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.76%,136.87,136872,57,52221000
25/04/2020,Andhra Pradesh,61266,Tested,1016,60250,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.66%,154.32,154322,60,52221000
26/04/2020,Andhra Pradesh,68034,Tested,1097,66937,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.61%,171.37,171370,62,52221000
27/04/2020,Andhra Pradesh,74551,Tested,1177,73374,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.58%,187.79,187786,63,52221000
28/04/2020,Andhra Pradesh,80334,Tested,1259,79075,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.57%,202.35,202353,64,52221000
29/04/2020,Andhra Pradesh,88061,Tested,1332,86729,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.51%,221.82,221816,66,52221000
30/04/2020,Andhra Pradesh,94558,Tested,1403,93155,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.48%,238.18,238181,67,52221000
01/05/2020,Andhra Pradesh,102460,Tested,1463,100997,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.43%,258.09,258086,70,52221000
02/05/2020,Andhra Pradesh,108403,Tested,1525,106878,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.41%,273.06,273055,71,52221000
03/05/2020,Andhra Pradesh,114937,Tested,1583,113354,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.38%,289.51,289514,73,52221000
04/05/2020,Andhra Pradesh,125229,Tested,1650,123579,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.32%,315.44,315438,76,52221000
05/05/2020,Andhra Pradesh,133492,Tested,1717,131775,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.29%,336.25,336252,78,52221000
06/05/2020,Andhra Pradesh,141274,Tested,1777,139497,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.26%,355.85,355854,80,52221000
07/05/2020,Andhra Pradesh,149361,Tested,1833,147528,,,,,,,,,,,https://t.me/indiacovid/4173?single,,,1.23%,376.22,376224,81,52221000
08/05/2020,Andhra Pradesh,156681,Tested,1887,154794,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.20%,394.66,394662,83,52221000
09/05/2020,Andhra Pradesh,165069,Tested,1930,163139,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.17%,415.79,415791,86,52221000
10/05/2020,Andhra Pradesh,173735,Tested,1980,171755,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.14%,437.62,437620,88,52221000
11/05/2020,Andhra Pradesh,181144,Tested,2018,179126,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.11%,456.28,456282,90,52221000
12/05/2020,Andhra Pradesh,191874,Tested,2051,189823,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.07%,483.31,483310,94,52221000
13/05/2020,Andhra Pradesh,201196,Tested,2137,199059,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.06%,506.79,506791,94,52221000
14/05/2020,Andhra Pradesh,210452,Tested,2100,208247,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,1.00%,530.11,530106,100,52221000
15/05/2020,Andhra Pradesh,219490,Tested,2157,217183,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,0.98%,552.87,552872,102,52221000
16/05/2020,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,52221000
17/05/2020,Andhra Pradesh,238998,Tested,2230,236618,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/35,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.93%,602.01,602010,107,52221000
18/05/2020,Andhra Pradesh,248771,Tested,2282,246279,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/45,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.92%,626.63,626627,109,52221000
19/05/2020,Andhra Pradesh,258450,Tested,2339,255961,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/56,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.91%,651.01,651008,110,52221000
20/05/2020,Andhra Pradesh,267612,Tested,2407,265052,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/67,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.90%,674.09,674086,111,52221000
21/05/2020,Andhra Pradesh,275704,Tested,2452,273099,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/83?single,,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.89%,694.47,694469,112,52221000
22/05/2020,Andhra Pradesh,284119,Tested,2514,281452,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/103,,,,,,,
09/04/2020,Arunachal Pradesh,206,Samples Collected,1,185,20,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,,0.49%,0.52,519,206,1504000
14/04/2020,Arunachal Pradesh,280,Samples Collected,1,250,29,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,,0.36%,0.71,705,280,1504000
17/04/2020,Arunachal Pradesh,363,Samples Collected,1,338,25,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,,0.28%,0.91,914,363,1504000
18/04/2020,Arunachal Pradesh,389,Samples Collected,1,358,31,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,,0.26%,0.98,980,389,1504000
20/04/2020,Arunachal Pradesh,439,Samples Collected,1,405,34,,,,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,,0.23%,1.11,1106,439,1504000
21/04/2020,Arunachal Pradesh,454,Samples Collected,1,433,19,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.22%,1.14,1144,454,1504000
22/04/2020,Arunachal Pradesh,496,Samples Collected,2,441,53,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.40%,1.25,1249,248,1504000
24/04/2020,Arunachal Pradesh,526,Samples Collected,2,508,16,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.38%,1.32,1325,263,1504000
26/04/2020,Arunachal Pradesh,568,Samples Collected,2,529,37,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.35%,1.43,1431,284,1504000
27/04/2020,Arunachal Pradesh,584,Samples Collected,2,566,16,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.34%,1.47,1471,292,1504000
28/04/2020,Arunachal Pradesh,610,Samples Collected,2,581,27,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.33%,1.54,1537,305,1504000
29/04/2020,Arunachal Pradesh,662,Samples Collected,2,595,65,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.30%,1.67,1668,331,1504000
30/04/2020,Arunachal Pradesh,694,Samples Collected,2,656,36,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.29%,1.75,1748,347,1504000
01/05/2020,Arunachal Pradesh,724,Samples Collected,2,692,30,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.28%,1.82,1824,362,1504000
02/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,1504000
03/05/2020,Arunachal Pradesh,810,Samples Collected,2,761,47,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.25%,2.04,2040,405,1504000
04/05/2020,Arunachal Pradesh,869,Samples Collected,2,762,105,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.23%,2.19,2189,435,1504000
05/05/2020,Arunachal Pradesh,970,Samples Collected,2,814,154,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.21%,2.44,2443,485,1504000
06/05/2020,Arunachal Pradesh,1039,Samples Collected,2,857,180,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.19%,2.62,2617,520,1504000
07/05/2020,Arunachal Pradesh,1144,Samples Collected,2,952,190,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.17%,2.88,2882,572,1504000
08/05/2020,Arunachal Pradesh,1354,Samples Collected,2,1015,337,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.15%,3.41,3411,677,1504000
09/05/2020,Arunachal Pradesh,1597,Samples Collected,2,1266,329,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.13%,4.02,4023,799,1504000
10/05/2020,Arunachal Pradesh,1823,Samples Collected,2,1363,458,,,,,,,,,5388,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.11%,4.59,4592,912,1504000
11/05/2020,Arunachal Pradesh,2078,Samples Collected,2,1538,538,,,,,,,,,5418,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.10%,5.23,5234,1039,1504000
12/05/2020,Arunachal Pradesh,2257,Samples Collected,2,1798,457,,,,,,,,,5521,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.09%,5.69,5685,1129,1504000
13/05/2020,Arunachal Pradesh,2483,Samples Collected,2,1902,579,,,,,,,,,5619,http://covid19.itanagarsmartcity.in/covidstatus.php,,http://covid19.itanagarsmartcity.in/callstatus.php,0.08%,6.25,6254,1242,1504000
14/05/2020,Arunachal Pradesh,2677,Samples Collected,2,2233,442,,,,,,,,,5699,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,6.74,6743,1339,1504000
15/05/2020,Arunachal Pradesh,2942,Samples Collected,2,2546,394,,,,,,,,,5753,https://t.me/Covid19india_Auxiliary_Test_Data/22,,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,7.41,7411,1471,1504000
16/05/2020,Arunachal Pradesh,3163,Samples Collected,2,2861,300,,,,,,,,,5806,https://t.me/Covid19india_Auxiliary_Test_Data/32,,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,7.97,7967,1582,1504000
17/05/2020,Arunachal Pradesh,3349,Samples Collected,2,2966,381,,,,,,,,,5851,https://t.me/Covid19india_Auxiliary_Test_Data/40,,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,8.44,8436,1675,1504000
18/05/2020,Arunachal Pradesh,3662,Samples Collected,2,3166,494,,,,,,,,,5906,https://t.me/Covid19india_Auxiliary_Test_Data/54,,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,9.22,9224,1831,1504000
19/05/2020,Arunachal Pradesh,3941,Samples Collected,2,3392,547,,,,,,,,,5944,https://t.me/Covid19india_Auxiliary_Test_Data/66,,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,9.93,9927,1971,1504000
20/05/2020,Arunachal Pradesh,4157,Samples Collected,2,3710,445,,,,,,,,,5977,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.05%,10.47,10471,2079,1504000
21/05/2020,Arunachal Pradesh,4438,Samples Collected,2,3963,473,,,,,,,,,6004,https://t.me/Covid19india_Auxiliary_Test_Data/90,,http://covid19.itanagarsmartcity.in/callstatus.php,,,,2219,
02/04/2020,Assam,962,Tested,16,819,,,,,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,,1.66%,2.42,2423,60,34293000
10/04/2020,Assam,2863,Tested,29,2685,,,,,,3212,440,240,,9245,https://t.me/indiacovid/2003?single,,,1.01%,7.21,7212,99,34293000
11/04/2020,Assam,3011,Tested,29,2842,,,,,,3212,440,240,,9514,https://t.me/indiacovid/2075?single,,,0.96%,7.58,7584,104,34293000
12/04/2020,Assam,3138,Tested,29,2973,194,,,,,3212,440,240,,9845,https://t.me/indiacovid/2146?single,,,0.92%,7.90,7904,108,34293000
14/04/2020,Assam,3491,Tested,31,3267,193,,,,,3212,440,240,,10615,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,,,0.89%,8.79,8793,113,34293000
15/04/2020,Assam,3613,Tested,32,3492,89,,,,,3212,440,240,,10915,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,9.10,9101,113,34293000
16/04/2020,Assam,4108,Tested,34,3803,,,,,,3338,440,303,,11248,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,,0.83%,10.35,10348,121,34293000
17/04/2020,Assam,4236,Tested,34,4024,,,,,,3338,440,303,,11561,https://twitter.com/nhm_assam/status/1251154796444184578,,,0.80%,10.67,10670,125,34293000
18/04/2020,Assam,4400,Tested,34,4199,,,,,,3338,440,303,,11847,https://twitter.com/nhm_assam,,,0.77%,11.08,11083,129,34293000
19/04/2020,Assam,4865,Tested,34,4584,,,,,,3338,440,303,,12148,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,,,0.70%,12.25,12254,143,34293000
20/04/2020,Assam,5112,Tested,34,4937,,,,,,3338,440,303,,12478,https://twitter.com/nhm_assam/status/1252256054907461632,,,0.67%,12.88,12877,150,34293000
21/04/2020,Assam,5514,Tested,34,5245,,,,,,3338,440,303,,12853,https://twitter.com/nhm_assam/status/1252591349670576128,,,0.62%,13.89,13889,162,34293000
24/04/2020,Assam,6680,Tested,35,6391,,,,,,3338,440,303,,14478,https://twitter.com/nhm_assam/status/1253714714485538817,,,0.52%,16.83,16826,191,34293000
25/04/2020,Assam,7159,Tested,35,6781,,,,,,3338,440,303,,14812,https://twitter.com/nhm_assam/status/1254067546023694337?s=19,,,0.49%,18.03,18033,205,34293000
26/04/2020,Assam,7823,Tested,35,7474,,,,,,3338,440,303,,15418,https://twitter.com/nhm_assam/status/1254433067911036936/photo/1,,,0.45%,19.71,19705,224,34293000
27/04/2020,Assam,8117,Tested,35,7985,,,,,,3338,440,303,,15809,https://twitter.com/nhm_assam/status/1254813929898835979,,,0.43%,20.45,20446,232,34293000
28/04/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,34293000
29/04/2020,Assam,9520,Tested,37,8771,,,,,,3338,440,303,,16815,https://twitter.com/nhm_assam/status/1255530189448241159,,,0.39%,23.98,23980,257,34293000
30/04/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,34293000
01/05/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,34293000
02/05/2020,Assam,11623,Tested,42,10499,,,,,,3338,440,303,,18549,https://twitter.com/nhm_assam/status/1256617639985549313?s=19,,,0.36%,29.28,29277,277,34293000
03/05/2020,Assam,,Tested,,,,,,,,,,,,,,,,,,,,34293000
04/05/2020,Assam,12775,Tested,42,11764,,,,,,3338,440,303,,19808,https://twitter.com/nhm_assam/status/1257309042742972421?s=19,,,0.33%,32.18,32179,304,34293000
05/05/2020,Assam,13442,Tested,43,12533,,,,,,3338,440,303,,20548,https://twitter.com/nhm_assam/status/1257686398108344321,,,0.32%,33.86,33859,313,34293000
09/05/2020,Assam,16167,Tested,59,15076,,,,,,3338,595,332,,22689,https://twitter.com/nhm_assam/status/1259143253225549824?s=19,,,0.36%,40.72,40723,274,34293000
10/05/2020,Assam,18002,Tested,62,16236,,,,,,3338,595,332,,23315,https://twitter.com/nhm_assam/status/1259509134476656643?s=19,,,0.34%,45.35,45345,290,34293000
11/05/2020,Assam,19589,Tested,64,17813,,,,,,3338,595,332,,23849,https://twitter.com/nhm_assam/status/1259873813346619393,,,0.33%,49.34,49343,306,34293000
12/05/2020,Assam,21791,Tested,64,19211,,,,,,3338,595,332,,24759,https://twitter.com/nhm_assam/status/1260233750119514112,,,0.29%,54.89,54889,340,34293000
13/05/2020,Assam,,,,,,,,,,,,,,,,,,,,,,34293000
14/05/2020,Assam,25824,Tested,86,23178,,,,,,3338,595,332,,25677,https://twitter.com/nhm_assam/status/1260970754763640833,,,0.33%,65.05,65048,300,34293000
15/05/2020,Assam,28178,Tested,86,25431,,,,,,3338,595,332,,26326,https://twitter.com/nhm_assam/status/1261333665562398722?s=19,,,0.31%,70.98,70977,328,34293000
16/05/2020,Assam,31276,Tested,91,28332,,,,,,3338,595,332,,26998,https://twitter.com/nhm_assam/status/1261711015596756992?s=19,,https://t.me/indiacovid/4901?single,0.29%,78.78,78781,344,34293000
17/05/2020,Assam,34376,Tested,97,32035,,,,,,3338,595,332,,26998,https://twitter.com/nhm_assam/status/1262045284873338887?s=19,,,0.28%,86.59,86589,354,34293000
18/05/2020,Assam,37898,Tested,106,35159,,,,,,3338,595,332,,27849,https://t.me/indiacovid/5078?single,,,0.28%,95.46,95461,358,34293000
19/05/2020,Assam,41116,Tested,141,38138,,,,,,3338,595,332,,28728,https://twitter.com/nhm_assam/status/1262787100228886530,,,0.34%,103.57,103567,292,34293000
20/05/2020,Assam,47084,Tested,170,42729,,,,,,3338,595,332,,29947,https://twitter.com/nhm_assam/status/1263137328869998592,,,0.36%,118.60,118599,277,34293000
21/05/2020,Assam,51730,Tested,203,46442,,,,,,3338,595,332,,30549,https://twitter.com/nhm_assam/status/1263506782728515586,,,,,,,
05/04/2020,Bihar,3037,Tested,32,2299,706,,,,,,,,,,https://twitter.com/sanjayjavin/status/1246667952054665216,,,1.05%,7.65,7650,95,119520000
05/04/2020,Bihar,3037,Tested,32,2299,706,,,,,,,,,,,,,1.05%,7.65,7650,95,119520000
08/04/2020,Bihar,4596,Tested,38,,465,,,,,,,,,,https://twitter.com/sanjayjavin/status/1247762894063677440,,,0.83%,11.58,11577,121,119520000
09/04/2020,Bihar,4991,Tested,43,,394,,,,,,,,,,https://twitter.com/BiharHealthDept/status/1248176830856626176/photo/1,,,0.86%,12.57,12572,116,119520000
10/04/2020,Bihar,5457,Tested,60,,673,,,,,,,,,,https://twitter.com/BiharHealthDept/status/1248494623409885184/photo/1,,,1.10%,13.75,13746,91,119520000
11/04/2020,Bihar,6250,Tested,61,,,,,,,2344,116,50,,51075,https://twitter.com/BiharHealthDept/status/1248845966158905345?s=19,,https://twitter.com/BiharHealthDept/status/1248964845371674625?s=09,0.98%,15.74,15743,102,119520000
12/04/2020,Bihar,6703,Tested,64,,618,,,,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1249203228178296832?s=20,,,0.95%,16.88,16884,105,119520000
13/04/2020,Bihar,7263,Tested,65,,41,,,,,2344,116,50,,,https://t.me/indiacovid/2178?single,,,0.89%,18.29,18295,112,119520000
14/04/2020,Bihar,7727,Tested,62,,472,,,,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1249928292519432192?s=09,,,0.80%,19.46,19463,125,119520000
15/04/2020,Bihar,8263,Tested,66,,565,,,,,2344,116,50,,40380,https://twitter.com/sanjayjavin/status/1250296101350957058?s=09,,https://twitter.com/SHSBihar/status/1250345699780096001?s=09,0.80%,20.81,20814,125,119520000
16/04/2020,Bihar,8846,Tested,72,,607,,,,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1250667064571785216?s=09,,,0.81%,22.28,22282,123,119520000
17/04/2020,Bihar,9486,Tested,83,,510,,,,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1251023696354881537,,,0.87%,23.89,23894,114,119520000
18/04/2020,Bihar,10130,Tested,85,,512,,735,Centre,,2344,116,50,,43152,https://twitter.com/BiharHealthDept/status/1251491112855973895,,https://twitter.com/SHSBihar/status/1251437221179060224?s=09,0.84%,25.52,25516,119,119520000
19/04/2020,Bihar,10745,Tested,92,,644,,700,Centre,,2344,116,50,,,https://t.me/indiacovid/2664?single,,,0.86%,27.07,27065,117,119520000
20/04/2020,Bihar,11319,Tested,96,,490,,802,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1252218091712524289,,,0.85%,28.51,28511,118,119520000
21/04/2020,Bihar,11999,Tested,115,,998,,693,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1252564363044704256,,,0.96%,30.22,30224,104,119520000
22/04/2020,Bihar,12978,Tested,136,,1005,,748,Centre,,2344,116,50,,,https://mobile.twitter.com/BiharHealthDept/status/1252933211488993280,,,1.05%,32.69,32690,95,119520000
23/04/2020,Bihar,13785,Tested,148,,1240,,768,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1253330396726480901?s=19,,,1.07%,34.72,34723,93,119520000
24/04/2020,Bihar,14924,Tested,176,,1000,,,,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1253554587811774465?s=19,,https://twitter.com/BiharHealthDept/status/1254045733969330178,1.18%,37.59,37592,85,119520000
25/04/2020,Bihar,15885,Tested,238,,898,,1255,Centre,,2344,116,50,,,https://t.me/indiacovid/3178,,,1.50%,40.01,40013,67,119520000
26/04/2020,Bihar,17041,Tested,255,,1018,,1427,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1254402408664363008?s=20,,,1.50%,42.92,42924,67,119520000
27/04/2020,Bihar,18179,Tested,328,,1656,,1614,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1254741773257248769,,,1.80%,45.79,45791,55,119520000
28/04/2020,Bihar,19790,Tested,346,,1884,,,,,,,,,,https://twitter.com/BiharHealthDept/status/1255002059994210304,,,1.75%,49.85,49849,57,119520000
29/04/2020,Bihar,21180,Tested,383,,1948,,2133,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1255508656205950976?s=19,,,1.81%,53.35,53350,55,119520000
30/04/2020,Bihar,22672,Tested,409,,1991,,2154,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1255823491133292545,,,1.80%,57.11,57108,55,119520000
01/05/2020,Bihar,24118,Tested,466,,2326,,2156,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1256207916274720769?s=20,,,1.93%,60.75,60751,52,119520000
02/05/2020,Bihar,25724,Tested,476,,2250,,2112,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1256541420544024582?s=19,,https://twitter.com/BiharHealthDept/status/1256473162583281666?s=19,1.85%,64.80,64796,54,119520000
03/05/2020,Bihar,26951,Tested,485,,1346,,2343,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1256919058374590464?s=19,,https://twitter.com/BiharHealthDept/status/1256829872409686016?s=19,1.80%,67.89,67887,56,119520000
04/05/2020,Bihar,28345,Tested,525,,527,,1803,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1257290178265219074,,https://twitter.com/sanjayjavin/status/1257177930700132353?s=19,1.85%,71.40,71398,54,119520000
05/05/2020,Bihar,28791,Tested,529,,547,,1481,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1257622689050656768?s=20,,https://twitter.com/sanjayjavin/status/1257551487674322944?s=19,1.84%,72.52,72521,54,119520000
06/05/2020,Bihar,29328,Tested,539,,464,,1425,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1257989196540547072?s=20,,https://twitter.com/sanjayjavin/status/1257909230872539137?s=09,1.84%,73.87,73874,54,119520000
07/05/2020,Bihar,29841,Tested,547,,701,,1466,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1258347711755104258?s=19,,https://twitter.com/BiharHealthDept/status/1258294411605098502?s=19,1.83%,75.17,75166,55,119520000
