Update Time Stamp,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case,Tests per million
05/04/2020 21:00:00,89534,,3554,,9369,295,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf,,3.97%,0.00,25.19,67
06/04/2020 21:00:00,101068,,4135,,11432,311,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf,,4.09%,0.00,24.44,76
07/04/2020 21:00:00,114015,,4616,,12584,285,ICMR_testing_update_07April_9PM_IST.pdf,,4.05%,0.00,24.70,86
08/04/2020 21:00:00,127919,,5114,,13143,320,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf,,4.00%,0.00,25.01,96
09/04/2020 21:00:00,144910,130792,5705,,16002,320,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf,,3.94%,22.93,25.40,109
10/04/2020 21:00:00,161330,147034,6872,,15663,433,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf,,4.26%,21.40,23.48,121
11/04/2020 21:00:00,179374,164773,7703,,17143,600,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf,,4.29%,21.39,23.29,135
12/04/2020 21:00:00,195748,181028,8312,,"15,583",544,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf,,4.25%,21.78,23.55,147
13/04/2020 21:00:00,217554,202551,9341,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf,,4.29%,21.68,23.29,163
14/04/2020 21:00:00,244893,229426,10307,,26351,853,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf,,4.21%,22.26,23.76,184
15/04/2020 21:00:00,274599,258730,11297,,28941,953,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf,,4.11%,22.90,24.31,206
16/04/2020 21:00:00,302956,286714,"12,581",,27256,1206,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf,,4.15%,22.79,24.08,227
17/04/2020 21:00:00,335123,318449,14098,,31083,1443,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf,,4.21%,22.59,23.77,251
18/04/2020 21:00:00,372123,354969,16365,,35494,2154,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf,,4.40%,21.69,22.74,279
19/04/2020 21:00:00,401586,383985,17615,,27824,1135,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf,,4.39%,21.80,22.80,301
20/04/2020 21:00:00,,,,,,,,,,,,0
21/04/2020 21:00:00,462621,447812,,,26943,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_21April_9PM_IST.pdf,,0.00%,,,347
22/04/2020 21:00:00,,,,,,,,,,,,0
23/04/2020 09:00:00,500542,485172,21797,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf,,4.35%,22.26,22.96,376
24/04/2020 09:00:00,541789,525667,23502,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_24Apr2020_9AM_IST.pdf,,4.34%,22.37,23.05,406
25/04/2020 09:00:00,579957,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_25Apr2020_9AM_IST.pdf,,0.00%,,,435
26/04/2020 09:00:00,625309,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf,,,,,469
27/04/2020 09:00:00,665819,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_27Apr2020_9AM_IST.pdf,,,,,500
28/04/2020 09:00:00,716733,,,,,,https://www.icmr.nic.in/pdf/covid/update/ICMR_testing_update_28Apr2020_9AM_IST.pdf,,,,,538
29/04/2020 09:00:00,770764,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Apr2020_9AM_IST.pdf,,,,,578
30/04/2020 09:00:00,830201,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Apr2020_9AM_IST.pdf,,,,,623
01/05/2020 09:00:00,902654,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01May2020_9AM_IST.pdf,,,,,677
02/05/2020 09:00:00,976363,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02May2020_9AM_IST.pdf,,,,,733
03/05/2020 09:00:00,1046450,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03May2020_9AM_IST.pdf,,,,,785
04/05/2020 09:00:00,1107233,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04May2020_9AM_IST.pdf,,,,,831
05/05/2020 09:00:00,1191946,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_05May2020_9AM_IST.pdf,,,,,894
06/05/2020 09:00:00,1276781,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf,,,,,958
07/05/2020 09:00:00,1357413,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf,,,,,1018
08/05/2020 09:00:00,1437788,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf,,,,,1079
09/05/2020 09:00:00,1523213,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf,,,,,1143
10/05/2020 09:00:00,1609037,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf,,,,,1207
11/05/2020 09:00:00,1673688,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf,,,,,1256
12/05/2020 09:00:00,1759579,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf,,,,,1320
13/05/2020 09:00:00,1854250,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_13May2020_9AM_IST.pdf,,,,,1391
14/05/2020 09:00:00,1947041,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_14May2020_9AM_IST.pdf,,,,,1461
15/05/2020 09:00:00,2039952,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_15May2020_9AM_IST.pdf,,,,,1530
16/05/2020 09:00:00,2134277,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_16May2020_9AM_IST.pdf,,,,,1601
17/05/2020 09:00:00,2227642,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_17May2020_9AM_IST.pdf,,,,,1671
18/05/2020 09:00:00,2302792,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_18May2020_9AM_IST.pdf,,,,,1728
19/05/2020 09:00:00,2404267,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_19May2020_9AM_IST.pdf,,,,,1804
20/05/2020 09:00:00,2512388,,,,108121,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_20May2020_9AM_IST.pdf,,,,,1885
21/05/2020 09:00:00,2615920,,,,103532,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_21May2020_9AM_IST.pdf,,,,,1963
22/05/2020 09:00:00,2719434,,,,103514,,https://t.me/Covid19india_Auxiliary_Test_Data/99,,,,,
23/05/2020 09:00:00,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/110,,,,,
